private,public,position,round,action,bet_size,pot,win,win_prob,ev
J,None,BB,preflop,raise,4,5,0,0.47250000000000003,2.1425000000000005
Q,Q,BB,flop,check,0,7,1,0.8,5.6000000000000005
K,None,SB,preflop,raise,2,9,1,0.5775000000000001,5.507500000000001
K,None,SB,preflop,check,0,6,0,0.55,3.3000000000000003
J,Q,BB,flop,fold,0,7,1,0.388,2.716
Q,Q,BB,flop,raise,2,3,1,0.8400000000000001,3.8800000000000003
J,J,BB,flop,fold,0,7,1,0.776,5.432
K,None,SB,preflop,check,0,8,1,0.55,4.4
J,None,BB,preflop,call,1,7,1,0.45,3.05
K,None,BB,preflop,raise,4,8,1,0.5775000000000001,5.240000000000002
Q,J,BB,flop,check,0,3,1,0.52,1.56
K,J,BB,flop,raise,3,5,1,0.651,4.1610000000000005
Q,None,BB,preflop,raise,1,3,1,0.525,1.625
K,Q,BB,flop,raise,3,6,1,0.63,4.5600000000000005
K,None,SB,preflop,check,0,4,1,0.55,2.2
Q,Q,SB,flop,check,0,3,1,0.8,2.4000000000000004
K,J,SB,flop,raise,3,3,0,0.651,2.859
Q,Q,SB,flop,check,0,4,1,0.8,3.2
J,J,BB,flop,call,2,5,1,0.8,5.200000000000001
Q,J,SB,flop,call,1,5,0,0.52,2.64
J,None,BB,preflop,check,0,2,1,0.45,0.9
Q,J,BB,flop,fold,0,5,0,0.5044,2.522
J,J,BB,flop,call,1,5,0,0.8,4.6000000000000005
J,None,BB,preflop,call,2,3,0,0.45,1.15
Q,Q,SB,flop,raise,3,8,1,0.8400000000000001,8.76
Q,None,SB,preflop,check,0,7,0,0.5,3.5
K,None,SB,preflop,check,0,3,1,0.55,1.6500000000000001
J,None,BB,preflop,fold,0,3,1,0.4365,1.3094999999999999
Q,None,SB,preflop,fold,0,4,0,0.485,1.94
J,Q,SB,flop,call,2,2,1,0.4,0.40000000000000013
Q,None,BB,preflop,call,2,5,1,0.5,2.5
J,None,SB,preflop,fold,0,2,1,0.4365,0.873
Q,None,SB,preflop,raise,1,4,1,0.525,2.15
J,J,BB,flop,check,0,9,0,0.8,7.2
K,None,SB,preflop,raise,3,2,0,0.5775000000000001,1.620000000000001
Q,Q,BB,flop,fold,0,4,1,0.776,3.104
Q,None,BB,preflop,check,0,9,0,0.5,4.5
K,None,BB,preflop,fold,0,9,0,0.5335,4.8015
K,K,BB,flop,call,2,2,1,0.8,2.8000000000000003
Q,None,BB,preflop,raise,1,9,1,0.525,4.775
J,None,BB,preflop,fold,0,2,0,0.4365,0.873
J,None,SB,preflop,fold,0,6,0,0.4365,2.6189999999999998
J,Q,SB,flop,call,2,4,0,0.4,1.2000000000000004
K,None,SB,preflop,raise,1,4,1,0.5775000000000001,2.4650000000000007
J,J,BB,flop,call,2,8,0,0.8,7.6
J,Q,BB,flop,check,0,8,1,0.4,3.2
J,None,BB,preflop,call,2,4,1,0.45,1.6
Q,None,BB,preflop,check,0,9,1,0.5,4.5
J,None,BB,preflop,call,1,7,1,0.45,3.05
J,K,BB,flop,call,2,7,1,0.38,2.1799999999999997
K,None,SB,preflop,raise,4,4,1,0.5775000000000001,2.9300000000000015
Q,J,BB,flop,raise,4,9,1,0.546,5.282000000000001
J,None,SB,preflop,fold,0,2,0,0.4365,0.873
Q,None,SB,preflop,raise,4,3,1,0.525,1.7750000000000004
K,None,SB,preflop,check,0,6,0,0.55,3.3000000000000003
J,None,SB,preflop,check,0,9,0,0.45,4.05
K,None,SB,preflop,check,0,2,1,0.55,1.1
J,None,SB,preflop,raise,3,5,0,0.47250000000000003,2.1975000000000002
K,None,SB,preflop,fold,0,7,1,0.5335,3.7344999999999997
K,None,BB,preflop,call,2,3,1,0.55,1.85
Q,None,SB,preflop,raise,4,4,0,0.525,2.3000000000000003
J,None,SB,preflop,check,0,9,1,0.45,4.05
K,K,BB,flop,raise,4,4,1,0.8400000000000001,6.080000000000001
Q,None,BB,preflop,raise,3,8,0,0.525,4.3500000000000005
K,None,SB,preflop,call,2,7,1,0.55,4.050000000000001
Q,None,SB,preflop,call,1,6,0,0.5,3.0
K,None,SB,preflop,call,2,3,0,0.55,1.85
K,None,BB,preflop,raise,2,8,0,0.5775000000000001,4.9300000000000015
Q,Q,BB,flop,raise,3,6,1,0.8400000000000001,7.080000000000001
J,None,BB,preflop,fold,0,6,0,0.4365,2.6189999999999998
K,J,BB,flop,raise,3,2,0,0.651,2.208
J,None,BB,preflop,raise,2,9,1,0.47250000000000003,4.142500000000001
Q,Q,BB,flop,call,2,9,1,0.8,8.4
Q,J,SB,flop,raise,1,3,1,0.546,1.7300000000000002
Q,None,BB,preflop,raise,3,8,0,0.525,4.3500000000000005
Q,K,BB,flop,check,0,2,0,0.48,0.96
Q,None,BB,preflop,raise,4,9,1,0.525,4.925000000000001
K,Q,BB,flop,call,1,7,1,0.6,4.3999999999999995
J,None,SB,preflop,call,2,2,0,0.45,0.7
J,None,BB,preflop,raise,4,9,0,0.47250000000000003,4.032500000000001
J,K,SB,flop,fold,0,2,0,0.3686,0.7372
K,Q,BB,flop,check,0,7,1,0.6,4.2
J,None,BB,preflop,fold,0,2,0,0.4365,0.873
Q,None,SB,preflop,call,2,5,1,0.5,2.5
K,None,SB,preflop,fold,0,9,1,0.5335,4.8015
K,None,BB,preflop,raise,4,7,0,0.5775000000000001,4.662500000000001
Q,K,SB,flop,check,0,8,0,0.48,3.84
J,Q,BB,flop,fold,0,3,1,0.388,1.1640000000000001
K,None,SB,preflop,raise,1,3,0,0.5775000000000001,1.8875000000000006
K,Q,SB,flop,raise,1,3,0,0.63,2.15
J,J,BB,flop,check,0,8,1,0.8,6.4
K,None,BB,preflop,raise,3,6,0,0.5775000000000001,3.930000000000002
Q,None,BB,preflop,check,0,7,0,0.5,3.5
J,K,BB,flop,check,0,7,0,0.38,2.66
Q,None,SB,preflop,raise,2,9,1,0.525,4.825
J,None,SB,preflop,call,2,9,1,0.45,3.85
K,None,SB,preflop,fold,0,3,1,0.5335,1.6004999999999998
Q,J,BB,flop,fold,0,4,1,0.5044,2.0176
Q,None,BB,preflop,call,1,5,0,0.5,2.5
J,None,SB,preflop,call,2,4,1,0.45,1.6
Q,None,SB,preflop,check,0,5,1,0.5,2.5
Q,None,SB,preflop,call,1,4,0,0.5,2.0
J,None,BB,preflop,raise,3,6,1,0.47250000000000003,2.6700000000000004
Q,Q,SB,flop,raise,3,4,1,0.8400000000000001,5.400000000000001
Q,None,SB,preflop,fold,0,8,1,0.485,3.88
K,None,BB,preflop,raise,1,6,0,0.5775000000000001,3.6200000000000006
J,None,SB,preflop,check,0,2,1,0.45,0.9
K,None,SB,preflop,check,0,6,1,0.55,3.3000000000000003
Q,Q,BB,flop,raise,3,2,1,0.8400000000000001,3.7200000000000006
K,None,SB,preflop,check,0,6,1,0.55,3.3000000000000003
Q,K,BB,flop,call,2,5,1,0.48,2.32
J,None,BB,preflop,check,0,9,0,0.45,4.05
Q,None,SB,preflop,check,0,3,1,0.5,1.5
K,None,BB,preflop,fold,0,3,1,0.5335,1.6004999999999998
K,None,BB,preflop,check,0,5,0,0.55,2.75
J,None,SB,preflop,check,0,9,1,0.45,4.05
J,None,BB,preflop,call,1,3,1,0.45,1.25
Q,None,SB,preflop,call,2,2,1,0.5,1.0
K,J,SB,flop,raise,3,7,1,0.651,5.463
J,None,BB,preflop,fold,0,4,0,0.4365,1.746
Q,Q,BB,flop,raise,3,4,1,0.8400000000000001,5.400000000000001
J,None,BB,preflop,raise,2,6,0,0.47250000000000003,2.7250000000000005
J,K,SB,flop,check,0,7,0,0.38,2.66
Q,None,SB,preflop,fold,0,2,0,0.485,0.97
Q,None,SB,preflop,call,1,6,1,0.5,3.0
Q,K,BB,flop,call,2,8,1,0.48,3.76
Q,J,BB,flop,raise,4,4,0,0.546,2.5520000000000005
J,J,SB,flop,raise,2,8,1,0.8400000000000001,8.08
Q,K,BB,flop,raise,2,3,0,0.504,1.528
Q,None,SB,preflop,raise,1,4,1,0.525,2.15
K,None,BB,preflop,call,2,4,0,0.55,2.4000000000000004
Q,None,SB,preflop,fold,0,6,1,0.485,2.91
K,None,SB,preflop,check,0,4,1,0.55,2.2
K,J,BB,flop,fold,0,7,0,0.6013999999999999,4.2097999999999995
K,Q,SB,flop,call,1,2,0,0.6,1.4
Q,None,BB,preflop,raise,3,6,1,0.525,3.3000000000000007
J,K,BB,flop,check,0,7,1,0.38,2.66
Q,Q,SB,flop,raise,2,9,1,0.8400000000000001,8.92
J,K,SB,flop,check,0,8,0,0.38,3.04
J,J,SB,flop,fold,0,8,1,0.776,6.208
